province	city	school_url/0	school_grades	school_board	school_language	response_url	school_name/0	school_type	postal_code	phone_number/0	street_address/0
Québec	Sainte-Catherine Québec	http://destimoniers.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École des Timoniers		J5C 1W6	: 514 380-8899, poste 4222	3805, rue des Marins
Québec	Châteauguay Québec	http://dts.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École des Trois-Sources (école alternative)		J6K 3Z9	: 514 380-8899, poste 4391	85, rue Prince
Québec	Saint-Constant Québec	http://dutournant.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École du Tournant		J5A 1X9	: 514 380-8899, poste 4811	65, montée Saint-Régis
Québec	La Prairie Québec	http://emilie-gamelin.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Emilie-Gamelin		J5R 5Z1	: 514 380-8899, poste 4022	275, boul. des Mésanges
Québec	Candiac Québec	http://fernandseguin.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Fernand-Seguin		J5R 4V5	: 514 380-8899, poste 4121	201, boul. Jean-Leman
Québec	Saint-Constant Québec	http://felix-leclerc.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Félix-Leclerc		J5A 2K8	: 514 380-8899, poste 4331	161, boul. Monchamp
Québec	Châteauguay Québec	http://gabrielleroy.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Gabrielle-Roy		J6J 1R7	: 514 380-8899, poste 4421	275, rue de Bonaventure
Québec	Châteauguay Québec	http://gerinlajoie.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Gérin-Lajoie		J6K 4W5	: 514 380-8899, poste 4381	110, rue Lajoie
Québec	Saint-Mathieu Québec	http://jacques-barclay.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Jacques-Barclay		J0L 2H0	: 514 380-8899, poste 4681	368, rue Principale
Québec	Saint-Constant Québec	http://jacquesleber.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Jacques-Leber		J5A 1Y5	: 514 380-8899, poste 4302	30, rue de l’Église
Québec	Candiac Québec	http://jeanleman.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Jean-Leman		J5R 4W3	: 514 380-8899, poste 4131	4, avenue Champagne
Québec	La Prairie Québec	http://jeanxxiii.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Jean-XXIII		J5R 2W3	: 514 380-8899, poste 4061	415, rue Longtin
Québec	Châteauguay Québec	http://laberge.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Laberge		J6J 1S1	: 514 380-8899, poste 4411	315, rue Rideau
Québec	Napierville Québec	http://louis-cyr.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Louis-Cyr		J0J 1L0	: 514 380-8899, poste 4762	319, rue Saint-Louis
Québec	Delson Québec	http://louis-lafortune.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Louis-Lafortune		J5B 1L4	: 514 380-8899, poste 4181	103, montée des Bouleaux
Québec	Châteauguay Québec	http://lpp.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Louis-Philippe-Paré		J6K 3X4	: 514 380-8899, poste 5480	235, boulevard Brisebois
Québec	Châteauguay Québec	http://marcandrefortier.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Marc-André-Fortier		J6K 5J2	: 514 380-8899, poste 4371	121, rue Prince
Québec	Châteauguay Québec	http://mb.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Marguerite-Bourgeois		J6J 3G9	: 514 380-8899, poste 4461	68, rue Principale
Québec	Châteauguay Québec	http://nda.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Notre-Dame-de-l’Assomption		J6J 4T2	: 514 380-8899, poste 4451	95, rue Notre-Dame Nord
Québec	La Prairie Québec	http://ndj.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Notre-Dame-Saint-Joseph – Édifice Notre-Dame		J5R 1T5	: 514 380-8899, poste 4041	310, boul. Taschereau
Québec	La Prairie Québec	http://ndj.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Notre-Dame-Saint-Joseph – Édifice Saint-Joseph		J5R 2N9	: 514 380-8899, poste 4031	320, rue Saint-Charles
Québec	Saint-Constant Québec	http://piche-dufrost.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Piché-Dufrost		J5A 1G2	: 514 380-8899, poste 4281	26, rue Sainte-Catherine
