province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Montréal	http://st-donat.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Saint-Donat	École primaire	H1N 3B8	 514 596-5037	3155, rue Desautels
Québec	Montréal	http://ste-bernadette-soubirous.csdm.ca/	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Bernadette-Soubirous	École primaire	H1X 2T5	 514 596-4166	6855, 16e Avenue
Québec	Montréal		primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Bernadette-Soubirous, annexe	École primaire	H1X 2T5	 514 596-7155	6885, 16e Avenue
Québec	Montréal	http://ste-bibiane.csdm.ca/	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Bibiane	École primaire	H1Y 2K4	 514 596-4861	5937, 9e Avenue
Québec	Montréal	http://ste-catherine-de-sienne.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Catherine-de-Sienne	École primaire	H4A 2X6	 514 596-5691	2055, avenue d'Oxford
Québec	Montréal	http://ste-cecile.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Cécile	École primaire	H2R 1Z6	 514 596-5530	7230, avenue De Gaspé
Québec	Montréal	http://ste-claire.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Claire	École primaire	H1L 1X7	 514 596-4944	8500, rue Sainte-Claire
Québec	Montréal	http://ste-jeanne-darc.csdm.ca/	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Jeanne-d'Arc	École primaire	H1X 1Z8	 514 596-4848	3700, rue Sherbrooke Est
Québec	Montréal	http://ste-louise-de-marillac.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Louise-de-Marillac	École primaire	H1L 1P3	 514 596-5044	8100, rue de Marseille
Québec	Montréal	http://ste-lucie.csdm.ca	primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	École Sainte-Lucie	École primaire	H1Z 1J7	 514 596-5550	2901, rue de Louvain Est
